index,Title,Price,Reviews,Image,href
1,"SmartyPants Daily Gummy Multivitamin Kids (suministro de 30 días), cereza y cereza, 120 unidades (paquete de 1)",US$19.75,"33,666","https://images-na.ssl-images-amazon.com/images/I/71%2Bu6Ou8jgL._AC_UL200_SR200,200_.jpg",/-/es/SmartyPants-Multivitamin-suministro-unidades-paquete/dp/B073PZSRG6/ref=zg_bs_6936790011_1/138-1327248-8445842?_encoding=UTF8&psc=1&refRID=62MZRCB53F6CWHQBTQEX
2,"Suplemento Naturewise Vitamina D3 5000 IU en aceite de oliva, sin GMO orgánica, grado USP, NW10240, 1, 1",US$10.85,"83,167","https://images-na.ssl-images-amazon.com/images/I/7160nkbcCsL._AC_UL200_SR200,200_.jpg",/-/es/Suplemento-Naturewise-Vitamina-D3-5000-IU-org%C3%A1nica/dp/B01F27DUES/ref=zg_bs_6936790011_2/138-1327248-8445842?_encoding=UTF8&psc=1&refRID=62MZRCB53F6CWHQBTQEX
3,"Vitamina D de Nature's Bounty para el apoyo inmunológico. La vitamina D proporciona apoyo inmune y promueve huesos saludables. 5000IU, 150 cápsulas blandas",US$14.93,"37,871","https://images-na.ssl-images-amazon.com/images/I/71oFu-QaPlL._AC_UL200_SR200,200_.jpg",/-/es/Vitamina-inmunol%C3%B3gico-vitamina-proporciona-saludables/dp/B002Y27LLS/ref=zg_bs_6936790011_3/138-1327248-8445842?_encoding=UTF8&psc=1&refRID=62MZRCB53F6CWHQBTQEX
4,"Mezcla para suplemento dietético bebible Emergen-C, con 0,035 oz de vitamina C, sin cafeína, 30 paquetes de 0.30 oz cada uno, sabor açaí, 1, 1",US$10.73,"29,917","https://images-na.ssl-images-amazon.com/images/I/91LejaCdfQL._AC_UL200_SR200,200_.jpg",/-/es/suplemento-diet%C3%A9tico-Emergen-C-vitamina-paquetes/dp/B00PL5L7JW/ref=zg_bs_6936790011_4/138-1327248-8445842?_encoding=UTF8&psc=1&refRID=62MZRCB53F6CWHQBTQEX
5,"Vitaminas para mujer Vitafusion Gummy , 27917022710, 150, 150, Mixto bayas, 1, 1",US$12.20,"33,946","https://images-na.ssl-images-amazon.com/images/I/714%2Bv5YutBL._AC_UL200_SR200,200_.jpg",/-/es/Vitaminas-mujer-Vitafusion-Gummy-27917022710/dp/B007L0DPE0/ref=zg_bs_6936790011_5/138-1327248-8445842?_encoding=UTF8&psc=1&refRID=62MZRCB53F6CWHQBTQEX
6,"Olly The Essential Prenatal Gummy Multivitamínico, suministro de 30 días (gomas), dulce, ácido fólico, vitamina D, Omega 3 DHA, suplemento masticable, cítrico blanco, 60 unidades (paquete de 1)",US$13.99,"3,996","https://images-na.ssl-images-amazon.com/images/I/819prWcXwXL._AC_UL200_SR200,200_.jpg",/-/es/Essential-Multivitam%C3%ADnico-suministro-suplemento-masticable/dp/B014G3ZY5W/ref=zg_bs_6936790011_6/138-1327248-8445842?_encoding=UTF8&psc=1&refRID=62MZRCB53F6CWHQBTQEX
7,"Comprimidos de B12 Natures Bounty, 0,000035 oz, NATURES316562, 1, 1",US$9.71,"21,312","https://images-na.ssl-images-amazon.com/images/I/71aiKF%2BG-bL._AC_UL200_SR200,200_.jpg",/-/es/Comprimidos-Natures-Bounty-000035-NATURES316562/dp/B0046VBWK6/ref=zg_bs_6936790011_7/138-1327248-8445842?_encoding=UTF8&psc=1&refRID=62MZRCB53F6CWHQBTQEX
8,"L 'il Critters Gummy vites Complete Multivitamin, 190 Count",US$11.20,"19,396","https://images-na.ssl-images-amazon.com/images/I/81DMnGybj8L._AC_UL200_SR200,200_.jpg",/-/es/Critters-Gummy-Complete-Multivitamin-190-Count/dp/B01613QBL6/ref=zg_bs_6936790011_8/138-1327248-8445842?_encoding=UTF8&psc=1&refRID=62MZRCB53F6CWHQBTQEX
9,"Vitamina K2 + D3 con aceite de coco virgen orgánico, vegano D3 (5000iu) con MK7 vitamina K2 (100 mcg) de garbanzos | certificado sin OMG y vegano (30 unidades)",US$21.99,"20,600","https://images-na.ssl-images-amazon.com/images/I/51Dtd1CM%2BQL._AC_UL200_SR200,200_.jpg",/-/es/Vitamina-org%C3%A1nico-vitamina-garbanzos-certificado/dp/B08YD4JRXV/ref=zg_bs_6936790011_9/138-1327248-8445842?_encoding=UTF8&psc=1&refRID=62MZRCB53F6CWHQBTQEX
10,"Nuun, Pastillas Hidratantes con Electrolitos, 1, 1",US$30.00,"20,068","https://images-na.ssl-images-amazon.com/images/I/71VAx4V8JBL._AC_UL200_SR200,200_.jpg",/-/es/ASM-4PK-NUMX-ORG-Electrolitos/dp/B019GU4ILQ/ref=zg_bs_6936790011_10/138-1327248-8445842?_encoding=UTF8&psc=1&refRID=62MZRCB53F6CWHQBTQEX
11,Nature's Bounty Optimal Solutions Cabello Piel y Uñas Extra Fuerza,US$12.47,"23,751","https://images-na.ssl-images-amazon.com/images/I/71r9uoLzJpL._AC_UL200_SR200,200_.jpg",/-/es/Vitaminas-Natures-Solutions-vitamina-unidades/dp/B0072F8D7S/ref=zg_bs_6936790011_11/138-1327248-8445842?_encoding=UTF8&psc=1&refRID=62MZRCB53F6CWHQBTQEX
12,"Multivitamínico de gomitas orgánicas diarias: probiótico, vitamina C, D3 y zinc para inmunidad, biotina, Omega 3, B6, metil B12 para energía por SmartyPants (120 quilates, suministro de 30 días)",US$18.80,"5,715","https://images-na.ssl-images-amazon.com/images/I/81GssB1p09L._AC_UL200_SR200,200_.jpg",/-/es/Multivitam%C3%ADnico-gomitas-org%C3%A1nicas-diarias-SmartyPants/dp/B079YXFCWT/ref=zg_bs_6936790011_12/138-1327248-8445842?_encoding=UTF8&psc=1&refRID=62MZRCB53F6CWHQBTQEX
13,"Vitaminas de gomitas para niños SmartyPants, KF120, 1, 1",US$22.95,"11,335","https://images-na.ssl-images-amazon.com/images/I/713wj2XTrVL._AC_UL200_SR200,200_.jpg",/-/es/Vitaminas-gomitas-ni%C3%B1os-SmartyPants-KF120/dp/B00CX6DM0O/ref=zg_bs_6936790011_13/138-1327248-8445842?_encoding=UTF8&psc=1&refRID=62MZRCB53F6CWHQBTQEX
14,"SmartyPants Multivitamínico para mujeres; Omega-3 DHA; Zinc para la inmunidad; Biotina, hierro, folato; Vitaminas D3, C, B6; Vitamina B12 para la energía; Vegetariano (suministro de 30 días)",US$22.81,"15,878","https://images-na.ssl-images-amazon.com/images/I/511U7RLUKRL._AC_UL200_SR200,200_.jpg",/-/es/SmartyPants-Multivitam%C3%ADnico-inmunidad-Vegetariano-suministro/dp/B08W3LQGTR/ref=zg_bs_6936790011_14/138-1327248-8445842?_encoding=UTF8&psc=1&refRID=62MZRCB53F6CWHQBTQEX
15,"Vitaminas prenatales Smarty Pants con ácido fólico multivitamínico, PN180, 1, 1",US$27.94,"11,997","https://images-na.ssl-images-amazon.com/images/I/71-oDEKL5AL._AC_UL200_SR200,200_.jpg",/-/es/Vitaminas-prenatales-Smarty-multivitam%C3%ADnico-PN180/dp/B00VFYYAC4/ref=zg_bs_6936790011_15/138-1327248-8445842?_encoding=UTF8&psc=1&refRID=62MZRCB53F6CWHQBTQEX
16,"Metil B12 1 de Jarrow Formulas , BMCG, 1, 1",US$14.85,"19,848","https://images-na.ssl-images-amazon.com/images/I/71SxS425g1L._AC_UL200_SR200,200_.jpg",/-/es/Metil-B12-Jarrow-Formulas-BMCG/dp/B008403N2U/ref=zg_bs_6936790011_16/138-1327248-8445842?_encoding=UTF8&psc=1&refRID=62MZRCB53F6CWHQBTQEX
